Product ID,Name,Market,Price USD,Features,Energy Integration,Value Proposition
PRODUCT_001,"Alexandria Enterprise Suite v1",enterprise,$3500,"Multi-cluster support; Enterprise SLA",Tracks 0.5 kWh per unit,"Purpose-built energy solution for enterprise organizations"
PRODUCT_002,"Alexandria Enterprise Suite v2",enterprise,$3550,"Multi-cluster support; Enterprise SLA; 24/7 monitoring",Tracks 0.6 kWh per unit,"Purpose-built energy solution for enterprise organizations"
PRODUCT_003,"Alexandria Enterprise Suite v3",enterprise,$3600,"Multi-cluster support; Enterprise SLA; 24/7 monitoring; API integration",Tracks 0.7 kWh per unit,"Purpose-built energy solution for enterprise organizations"
PRODUCT_004,"Alexandria Enterprise Suite v4",enterprise,$3650,"Multi-cluster support; Enterprise SLA",Tracks 0.8 kWh per unit,"Purpose-built energy solution for enterprise organizations"
PRODUCT_005,"Alexandria Enterprise Suite v5",enterprise,$3700,"Multi-cluster support; Enterprise SLA; 24/7 monitoring",Tracks 0.9 kWh per unit,"Purpose-built energy solution for enterprise organizations"
PRODUCT_006,"Alexandria Enterprise Suite v6",enterprise,$3750,"Multi-cluster support; Enterprise SLA; 24/7 monitoring; API integration",Tracks 1.0 kWh per unit,"Purpose-built energy solution for enterprise organizations"
PRODUCT_007,"Alexandria Enterprise Suite v7",enterprise,$3800,"Multi-cluster support; Enterprise SLA",Tracks 1.1 kWh per unit,"Purpose-built energy solution for enterprise organizations"
PRODUCT_008,"Alexandria Enterprise Suite v8",enterprise,$3850,"Multi-cluster support; Enterprise SLA; 24/7 monitoring",Tracks 1.2 kWh per unit,"Purpose-built energy solution for enterprise organizations"
PRODUCT_009,"Alexandria Enterprise Suite v9",enterprise,$3900,"Multi-cluster support; Enterprise SLA; 24/7 monitoring; API integration",Tracks 1.3 kWh per unit,"Purpose-built energy solution for enterprise organizations"
PRODUCT_010,"Alexandria Enterprise Suite v10",enterprise,$3950,"Multi-cluster support; Enterprise SLA",Tracks 1.4 kWh per unit,"Purpose-built energy solution for enterprise organizations"
PRODUCT_011,"Alexandria Enterprise Suite v11",enterprise,$4000,"Multi-cluster support; Enterprise SLA; 24/7 monitoring",Tracks 1.5 kWh per unit,"Purpose-built energy solution for enterprise organizations"
PRODUCT_012,"Alexandria Enterprise Suite v12",enterprise,$4050,"Multi-cluster support; Enterprise SLA; 24/7 monitoring; API integration",Tracks 1.6 kWh per unit,"Purpose-built energy solution for enterprise organizations"
PRODUCT_013,"Alexandria Enterprise Suite v13",enterprise,$4100,"Multi-cluster support; Enterprise SLA",Tracks 1.7 kWh per unit,"Purpose-built energy solution for enterprise organizations"
PRODUCT_014,"Alexandria Mining Suite v14",mining,$2000,"XMRig integration; Pool management",Tracks 0.5 kWh per unit,"Purpose-built energy solution for mining organizations"
PRODUCT_015,"Alexandria Mining Suite v15",mining,$2050,"XMRig integration; Pool management; Rig monitoring",Tracks 0.6 kWh per unit,"Purpose-built energy solution for mining organizations"
PRODUCT_016,"Alexandria Mining Suite v16",mining,$2100,"XMRig integration; Pool management; Rig monitoring; Revenue tracking",Tracks 0.7 kWh per unit,"Purpose-built energy solution for mining organizations"
PRODUCT_017,"Alexandria Mining Suite v17",mining,$2150,"XMRig integration; Pool management",Tracks 0.8 kWh per unit,"Purpose-built energy solution for mining organizations"
PRODUCT_018,"Alexandria Mining Suite v18",mining,$2200,"XMRig integration; Pool management; Rig monitoring",Tracks 0.9 kWh per unit,"Purpose-built energy solution for mining organizations"
PRODUCT_019,"Alexandria Mining Suite v19",mining,$2250,"XMRig integration; Pool management; Rig monitoring; Revenue tracking",Tracks 1.0 kWh per unit,"Purpose-built energy solution for mining organizations"
PRODUCT_020,"Alexandria Mining Suite v20",mining,$2300,"XMRig integration; Pool management",Tracks 1.1 kWh per unit,"Purpose-built energy solution for mining organizations"
PRODUCT_021,"Alexandria Mining Suite v21",mining,$2350,"XMRig integration; Pool management; Rig monitoring",Tracks 1.2 kWh per unit,"Purpose-built energy solution for mining organizations"
PRODUCT_022,"Alexandria Mining Suite v22",mining,$2400,"XMRig integration; Pool management; Rig monitoring; Revenue tracking",Tracks 1.3 kWh per unit,"Purpose-built energy solution for mining organizations"
PRODUCT_023,"Alexandria Mining Suite v23",mining,$2450,"XMRig integration; Pool management",Tracks 1.4 kWh per unit,"Purpose-built energy solution for mining organizations"
PRODUCT_024,"Alexandria Mining Suite v24",mining,$2500,"XMRig integration; Pool management; Rig monitoring",Tracks 1.5 kWh per unit,"Purpose-built energy solution for mining organizations"
PRODUCT_025,"Alexandria Mining Suite v25",mining,$2550,"XMRig integration; Pool management; Rig monitoring; Revenue tracking",Tracks 1.6 kWh per unit,"Purpose-built energy solution for mining organizations"
PRODUCT_026,"Alexandria Mining Suite v26",mining,$2600,"XMRig integration; Pool management",Tracks 1.7 kWh per unit,"Purpose-built energy solution for mining organizations"
PRODUCT_027,"Alexandria Research Suite v27",research,$1500,"Data export formats; Peer review ready",Tracks 0.5 kWh per unit,"Purpose-built energy solution for research organizations"
PRODUCT_028,"Alexandria Research Suite v28",research,$1550,"Data export formats; Peer review ready; Citation support",Tracks 0.6 kWh per unit,"Purpose-built energy solution for research organizations"
PRODUCT_029,"Alexandria Research Suite v29",research,$1600,"Data export formats; Peer review ready; Citation support; Open data API",Tracks 0.7 kWh per unit,"Purpose-built energy solution for research organizations"
PRODUCT_030,"Alexandria Research Suite v30",research,$1650,"Data export formats; Peer review ready",Tracks 0.8 kWh per unit,"Purpose-built energy solution for research organizations"
PRODUCT_031,"Alexandria Research Suite v31",research,$1700,"Data export formats; Peer review ready; Citation support",Tracks 0.9 kWh per unit,"Purpose-built energy solution for research organizations"
PRODUCT_032,"Alexandria Research Suite v32",research,$1750,"Data export formats; Peer review ready; Citation support; Open data API",Tracks 1.0 kWh per unit,"Purpose-built energy solution for research organizations"
PRODUCT_033,"Alexandria Research Suite v33",research,$1800,"Data export formats; Peer review ready",Tracks 1.1 kWh per unit,"Purpose-built energy solution for research organizations"
PRODUCT_034,"Alexandria Research Suite v34",research,$1850,"Data export formats; Peer review ready; Citation support",Tracks 1.2 kWh per unit,"Purpose-built energy solution for research organizations"
PRODUCT_035,"Alexandria Research Suite v35",research,$1900,"Data export formats; Peer review ready; Citation support; Open data API",Tracks 1.3 kWh per unit,"Purpose-built energy solution for research organizations"
